url,url_entropy,count_dots,count_hyphens,count_at,is_punycode,has_non_ascii,is_ip_address,has_suspicious_keyword,domain_age_days,has_dns_record,has_iframe,right_click_disabled,submits_to_email,path_depth,param_count,subdomain_count,is_https,domain_legit_score,suspicion_score,very_long_url,label
https://news.stats.gov.cn/content/2025/0122/2735604,4.1795,3,0,0,0,0,0,0,1579,1,0,0,0,4,0,2,1,75,1,0,0
https://tech.net.cn/news/2024/0224/666406.shtml,3.8864,3,0,0,0,0,0,0,3815,1,0,0,0,4,0,0,1,86,13,0,0
http://www.hgcit.com.cn/promo.php?v=92&uid=9545&aff=T,4.5716,4,0,0,0,0,0,0,215,1,1,0,0,1,3,1,0,27,94,0,1
http://www.payhuk.win/app.php?v=92&uid=2018&aff=D,4.4048,3,0,0,0,0,0,1,270,1,0,0,0,1,3,1,0,26,95,0,1
http://www.win41c6b1l.cn/pay.php?v=99&uid=1495&aff=P,4.5894,3,0,0,0,0,0,1,51,1,1,1,0,1,3,1,0,5,70,0,1
http://www.yhl1u6w9.vip/pay.php?v=89&uid=4646&aff=X,4.4296,3,0,0,0,0,0,1,267,1,1,0,1,1,3,1,0,22,65,0,1
https://tech.edu.cn/p/2025/0717/6339215.html,4.2373,3,0,0,0,0,0,0,3109,1,0,0,0,4,0,1,1,67,1,0,0
http://www.amp5jo.cn/index.php?v=15&uid=8683&aff=D,4.7035,3,0,0,0,0,0,0,77,1,0,1,0,1,3,1,0,34,100,0,1
https://api.pinduoduo.com/view/2025/0909/2623776.shtml,4.4949,3,0,0,0,0,0,0,4294,1,0,0,0,4,0,1,1,71,20,0,0
https://news.people.com.cn/article/2022/0502/9738215,4.3756,3,0,0,0,0,0,0,5677,1,0,0,0,4,0,1,1,97,6,0,0
https://tech.tmall.com/p/2023/0708/8362014.php,4.1372,3,0,0,0,0,0,0,4877,1,0,0,0,4,0,1,1,65,7,0,0
https://www.cctv.com/article/2023/0111/452168.php,4.3386,3,0,0,0,0,0,0,1905,1,0,0,0,4,0,1,1,78,1,0,0
http://www.caipiaodkwi.bid/app.php?v=17&uid=1708&aff=K,4.3819,3,0,0,0,0,0,0,93,1,1,0,0,1,3,1,0,15,89,0,1
https://news.abchina.com/item/2024/0617/9118757.shtml,4.4819,3,0,0,0,0,0,0,5286,1,0,0,0,4,0,1,1,84,18,0,0
http://www.slotw2jhh.icu/pay.php?v=55&uid=5186&aff=U,4.5894,3,0,0,0,0,0,1,72,1,0,0,0,1,3,1,0,28,86,0,1
https://tech.xinhuanet.com/item/2023/0521/5765781,4.3466,2,0,0,0,0,0,0,1321,1,0,0,0,4,0,1,1,97,20,0,0
http://www.yh09a.cn/promo.php?v=32&uid=1505&aff=M,4.6805,3,0,0,0,0,0,0,122,1,1,0,1,1,3,1,0,1,71,0,1
http://www.daihi8hyf.cn/login.php?v=1&uid=6654&aff=P,4.6133,3,0,0,0,0,0,1,131,1,1,0,0,1,3,1,0,10,99,0,1
https://sports.pinduoduo.com/news/2023/0802/2212138.shtml,4.2733,3,0,0,0,0,0,0,4369,1,0,0,0,4,0,1,1,93,7,0,0
https://tech.abchina.com/view/2023/0628/7203859.shtml,4.4492,3,0,0,0,0,0,0,5259,1,0,0,0,4,0,1,1,79,24,0,0
https://m.toutiao.com/view/2023/1221/7827567.php,4.2904,3,0,0,0,0,0,0,1272,1,0,0,0,4,0,1,1,65,14,0,0
http://www.yl8uy2j.vip/promo.php?v=30&uid=8511&aff=W,4.6883,3,0,0,0,0,0,0,52,1,1,1,1,1,3,1,0,13,81,0,1
https://www.xinhuanet.com/view/2024/0101/6565309.html,4.5011,3,0,0,0,0,0,0,4120,1,0,0,0,4,0,1,1,73,25,0,0
http://www.jili4wiv7k.bid/app.php?v=2&uid=4823&aff=E,4.4796,3,0,0,0,0,0,0,247,0,0,1,0,1,3,1,0,3,81,0,1
https://www.sohu.com.cn/view/2024/0508/9940566,4.3004,3,0,0,0,0,0,0,3510,1,0,0,0,4,0,1,1,67,7,0,0
https://m.sohu.com.cn/content/2024/0915/4671376.html,4.2986,4,0,0,0,0,0,0,4380,1,0,0,0,4,0,1,1,76,2,0,0
http://www.pan4f8.xyz/index.php?v=71&uid=9718&aff=C,4.618,3,0,0,0,0,0,0,292,1,0,0,0,1,3,1,0,5,89,0,1
https://sports.alipay.com/article/2024/0905/9593431,4.3531,2,0,0,0,0,0,1,2378,1,0,0,0,4,0,1,1,75,17,0,0
https://api.bilibili.com/article/2024/1024/2454973,4.2733,2,0,0,0,0,0,0,4809,1,0,0,0,4,0,1,1,95,9,0,0
http://www.panoju8n.win/index.php?v=93&uid=5013&aff=M,4.6143,3,0,0,0,0,0,0,131,1,1,0,0,1,3,1,0,20,88,0,1
https://sports.csdn.net/view/2023/0119/435921.html,4.3762,3,0,0,0,0,0,0,4848,1,0,0,0,4,0,1,1,71,18,0,0
https://m.sina.com.cn/news/2025/1103/3962461.shtml,4.3382,4,0,0,0,0,0,0,2662,1,0,0,0,4,0,1,1,78,0,0,0
https://sports.tmall.com/article/2025/0216/1241949.shtml,4.2487,3,0,0,0,0,0,0,806,1,0,0,0,4,0,1,1,95,5,0,0
https://m.163.com/article/2024/0316/9170800.php,4.3176,3,0,0,0,0,0,0,3769,1,0,0,0,4,0,1,1,65,1,0,0
http://www.macaue8gng.cn/promo.php?v=76&uid=6484&aff=Q,4.685,3,0,0,0,0,0,0,32,1,1,0,0,1,3,1,0,19,80,0,1
http://www.panpjt6.icu/promo.php?v=23&uid=7389&aff=N,4.6373,3,0,0,0,0,0,0,203,0,0,0,0,1,3,1,0,25,81,0,1
https://m.baidu.cn/p/2025/1022/1633864,4.2608,2,0,0,0,0,0,0,3142,1,0,0,0,4,0,1,1,76,3,0,0
http://www.888n90.cc/login.php?v=27&uid=3294&aff=N,4.7133,3,0,0,0,0,0,1,290,1,0,0,1,1,3,1,0,29,98,0,1
https://tech.gov.cn/p/2022/1102/5122154,3.8553,2,0,0,0,0,0,0,3927,1,0,0,0,4,0,1,1,85,24,0,0
https://tech.bilibili.com/p/2024/0119/7400392.html,4.1933,3,0,0,0,0,0,0,4800,1,0,0,0,4,0,1,1,98,23,0,0
http://www.hgtzh9nc.com.cn/login.php?v=95&uid=8503&aff=T,4.6773,4,0,0,0,0,0,1,24,1,1,0,0,1,3,1,0,27,83,0,1
https://www.baidu.com/view/2023/0505/580542.shtml,4.354,3,0,0,0,0,0,0,1826,1,0,0,0,4,0,1,1,78,3,0,0
https://api.abchina.com/news/2024/0504/7290287.html,4.3679,3,0,0,0,0,0,0,2143,1,0,0,0,4,0,1,1,93,20,0,0
